#                                                                                
# Lorentzian broadening with gamma= 0.050000  [eV]
# Im(epsilon) shifted by   0.0000   [eV]
# No intraband contributions added
#
# Energy [eV]    eloss_xx      eloss_zz
#
  14.680550  0.321984E+00  0.269656E+00
  14.707760  0.326487E+00  0.268914E+00
  14.734970  0.329918E+00  0.266387E+00
  14.762180  0.329488E+00  0.262721E+00
  14.789390  0.325593E+00  0.259579E+00
  14.816600  0.320371E+00  0.257811E+00
  14.843820  0.314700E+00  0.256786E+00
  14.871030  0.310218E+00  0.255940E+00
  14.898240  0.307831E+00  0.255408E+00
  14.925450  0.307696E+00  0.255424E+00
  14.952660  0.309513E+00  0.256423E+00
  14.979870  0.312282E+00  0.258544E+00
  15.007080  0.315296E+00  0.261194E+00
  15.034300  0.318169E+00  0.263348E+00
  15.061510  0.319908E+00  0.264165E+00
  15.088720  0.319454E+00  0.263318E+00
  15.115930  0.317244E+00  0.260771E+00
  15.143140  0.314968E+00  0.256529E+00
  15.170350  0.313528E+00  0.250804E+00
  15.197560  0.312955E+00  0.243597E+00
  15.224780  0.312881E+00  0.235408E+00
  15.251990  0.313068E+00  0.227674E+00
  15.279200  0.313821E+00  0.221585E+00
  15.306410  0.315408E+00  0.217472E+00
  15.333620  0.317879E+00  0.215016E+00
  15.360830  0.321136E+00  0.213184E+00
  15.388040  0.324925E+00  0.210967E+00
  15.415260  0.328725E+00  0.208287E+00
  15.442470  0.331851E+00  0.206289E+00
  15.469680  0.334031E+00  0.206366E+00
  15.496890  0.335738E+00  0.209043E+00
  15.524100  0.337825E+00  0.213602E+00
  15.551310  0.340408E+00  0.219238E+00
  15.578520  0.343093E+00  0.225624E+00
  15.605740  0.345337E+00  0.232270E+00
  15.632950  0.347094E+00  0.238092E+00
  15.660160  0.348869E+00  0.242185E+00
  15.687370  0.350792E+00  0.245319E+00
  15.714580  0.352475E+00  0.248391E+00
  15.741790  0.353234E+00  0.251015E+00
  15.769000  0.353155E+00  0.252870E+00
  15.796210  0.353089E+00  0.254087E+00
  15.823430  0.353515E+00  0.255038E+00
  15.850640  0.354416E+00  0.256420E+00
  15.877850  0.355560E+00  0.258291E+00
  15.905060  0.356944E+00  0.259914E+00
  15.932270  0.358779E+00  0.260504E+00
  15.959480  0.360978E+00  0.260027E+00
  15.986690  0.363450E+00  0.259775E+00
  16.013910  0.366200E+00  0.261024E+00
  16.041120  0.368969E+00  0.263619E+00
  16.068330  0.371590E+00  0.266475E+00
  16.095540  0.374009E+00  0.269047E+00
  16.122750  0.376228E+00  0.272055E+00
  16.149960  0.378511E+00  0.276056E+00
  16.177170  0.381244E+00  0.280697E+00
  16.204390  0.384236E+00  0.285240E+00
  16.231600  0.387142E+00  0.288541E+00
  16.258810  0.389718E+00  0.289980E+00
  16.286020  0.391865E+00  0.290390E+00
  16.313230  0.394205E+00  0.291468E+00
  16.340440  0.397024E+00  0.294339E+00
  16.367650  0.399658E+00  0.298751E+00
  16.394870  0.401475E+00  0.303851E+00
  16.422080  0.402362E+00  0.308973E+00
  16.449290  0.402678E+00  0.313573E+00
  16.476500  0.403320E+00  0.317363E+00
  16.503710  0.404562E+00  0.320190E+00
  16.530920  0.405956E+00  0.321772E+00
  16.558130  0.407112E+00  0.322981E+00
  16.585350  0.407680E+00  0.324796E+00
